director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,index
Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,Comedy,hustle,Adam Sandler Queen Latifah Ben Foster Jeremiah Zagar Comedy,98.0
Angus MacLane,Chris Evans,Keke Palmer,Dale Soules,Animation Science Fiction Adventure Action Drama,lightyear,Chris Evans Keke Palmer Dale Soules Angus MacLane Animation Science Fiction Adventure Action Drama,100.0
Cooper Raiff,Cooper Raiff,Dakota Johnson,Raúl Castillo,Comedy Drama Romance,cha cha real smooth,Cooper Raiff Dakota Johnson Raúl Castillo Cooper Raiff Comedy Drama Romance,101.0
Baz Luhrmann,Austin Butler,Tom Hanks,Helen Thomson,Drama Music,elvis,Austin Butler Tom Hanks Helen Thomson Baz Luhrmann Drama Music,102.0
Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Horror,the black phone,Ethan Hawke Mason Thames Madeleine McGraw Scott Derrickson Horror,103.0
Jason Moore,Jennifer Lopez,Josh Duhamel,Sônia Braga,Comedy Action,shotgun wedding,Jennifer Lopez Josh Duhamel Sônia Braga Jason Moore Comedy Action,104.0
Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh,Family Animation Action Adventure Comedy,minions: the rise of gru,Steve Carell Taraji P. Henson Michelle Yeoh Kyle Balda Family Animation Action Adventure Comedy,105.0
Taika Waititi,Chris Hemsworth,Natalie Portman,Tessa Thompson,Action Adventure Fantasy Comedy,thor: love and thunder,Chris Hemsworth Natalie Portman Tessa Thompson Taika Waititi Action Adventure Fantasy Comedy,106.0
Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,Drama Mystery,where the crawdads sing,Daisy Edgar-Jones Taylor John Smith Harris Dickinson Olivia Newman Drama Mystery,107.0
Anthony Fabian,Lesley Manville,Isabelle Huppert,Jason Isaacs,Drama,mrs. harris goes to paris,Lesley Manville Isabelle Huppert Jason Isaacs Anthony Fabian Drama,108.0
Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun,Horror Mystery Science Fiction Thriller,nope,Daniel Kaluuya Keke Palmer Steven Yeun Jordan Peele Horror Mystery Science Fiction Thriller,110.0
"Rob Minkoff, Mark Koetsier",Michael Cera,Samuel L. Jackson,Ricky Gervais,Family Comedy Animation Action,paws of fury: the legend of hank,"Michael Cera Samuel L. Jackson Ricky Gervais Rob Minkoff, Mark Koetsier Family Comedy Animation Action",111.0
Calmatic,Jacob Latimore,Tosin Cole,Melvin Gregg,Comedy Drama,house party,Jacob Latimore Tosin Cole Melvin Gregg Calmatic Comedy Drama,112.0
David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Action Thriller Mystery,bullet train,Brad Pitt Joey King Aaron Taylor-Johnson David Leitch Action Thriller Mystery,113.0
Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,Action Animation Comedy Family,dc league of super-pets,Dwayne Johnson Kevin Hart Kate McKinnon Jared Stern Action Animation Comedy Family,114.0
B.J. Novak,B.J. Novak,Issa Rae,Ashton Kutcher,Action Crime Fantasy,vengeance,B.J. Novak Issa Rae Ashton Kutcher B.J. Novak Action Crime Fantasy,115.0
Peggy Holmes,Jane Fonda,Whoopi Goldberg,Eva Noblezada,Comedy,luck,Jane Fonda Whoopi Goldberg Eva Noblezada Peggy Holmes Comedy,116.0
Jay Chandrasekhar,Jo Koy,Jimmy O. Yang,Tia Carrere,Comedy,easter sunday,Jo Koy Jimmy O. Yang Tia Carrere Jay Chandrasekhar Comedy,117.0
"Henry Joost, Ariel Schulman",Owen Wilson,Michael Peña,Jesse Williams,Family Action Science Fiction Adventure,secret headquarters,"Owen Wilson Michael Peña Jesse Williams Henry Joost, Ariel Schulman Family Action Science Fiction Adventure",118.0
Quinn Shephard,Zoey Deutch,Mia Isaac,Dylan O'Brien,Comedy Romance,not okay,Zoey Deutch Mia Isaac Dylan O'Brien Quinn Shephard Comedy Romance,119.0
Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Action Comedy,the man from toronto,Kevin Hart Woody Harrelson Kaley Cuoco Patrick Hughes Action Comedy,120.0
Baltasar Kormákur,Idris Elba,Sharlto Copley,unknown,Romance Family Animation Fantasy,beast,Idris Elba Sharlto Copley unknown Baltasar Kormákur Romance Family Animation Fantasy,121.0
Julius Avery,Sylvester Stallone,Javon Walton,Martin Starr,Thriller Crime Horror,samaritan,Sylvester Stallone Javon Walton Martin Starr Julius Avery Thriller Crime Horror,122.0
Adamma Ebo,Regina Hall,Sterling K. Brown,unknown,Comedy,honk for jesus. save your soul,Regina Hall Sterling K. Brown unknown Adamma Ebo Comedy,124.0
Castille Landon,Hero Fiennes-Tiffin,Josephine Langford,unknown,Romance,after ever happy,Hero Fiennes-Tiffin Josephine Langford unknown Castille Landon Romance,125.0
Gary Dauberman,Gary Dauberman (director/screenplay),Lewis Pullman,Makenzie Leigh,Horror,salem's lot,Gary Dauberman (director/screenplay) Lewis Pullman Makenzie Leigh Gary Dauberman Horror,126.0
David Slade,Casey Likes,E’myri Crutchfield,Jeremy Davies,Horror,dark harvest,Casey Likes E’myri Crutchfield Jeremy Davies David Slade Horror,127.0
Gina Prince-Bythewood,Viola Davis,Thuso Mbedu,Lashana Lynch,Drama History,the woman king,Viola Davis Thuso Mbedu Lashana Lynch Gina Prince-Bythewood Drama History,128.0
Kelly Fremon Craig,Abby Ryder Fortson,Rachel McAdams,Benny Safdie,Drama Comedy,"are you there god? it's me, margaret",Abby Ryder Fortson Rachel McAdams Benny Safdie Kelly Fremon Craig Drama Comedy,129.0
Josh Gordon & Will Speck,Anthony Ramos,Naomi Scott,Kristofer Hivju,Drama,distant,Anthony Ramos Naomi Scott Kristofer Hivju Josh Gordon & Will Speck Drama,130.0
Olivia Wilde,Florence Pugh,Harry Styles,Olivia Wilde,Drama Mystery Thriller,don't worry darling,Florence Pugh Harry Styles Olivia Wilde Olivia Wilde Drama Mystery Thriller,131.0
Joel Crawford,Joel Crawford (director); Antonio Banderas,Salma Hayek,Harvey Guillén,Animation Adventure Comedy Family Fantasy Drama,puss in boots: the last wish,Joel Crawford (director); Antonio Banderas Salma Hayek Harvey Guillén Joel Crawford Animation Adventure Comedy Family Fantasy Drama,132.0
Nicholas Stoller,Billy Eichner,Luke Macfarlane,Jim Rash,Adventure Comedy Family Science Fiction,bros,Billy Eichner Luke Macfarlane Jim Rash Nicholas Stoller Adventure Comedy Family Science Fiction,133.0
